Organism,Year,Ladder_Step,Count,Percent,Total_N,Sufficient
Klebsiella pneumoniae,2004,0,288,80.0,360,YES
Klebsiella pneumoniae,2004,1,29,8.06,360,YES
Klebsiella pneumoniae,2004,2,33,9.17,360,YES
Klebsiella pneumoniae,2004,3,10,2.78,360,YES
Klebsiella pneumoniae,2004,4,0,0.0,360,YES
Klebsiella pneumoniae,2005,0,315,81.19,388,YES
Klebsiella pneumoniae,2005,1,20,5.15,388,YES
Klebsiella pneumoniae,2005,2,43,11.08,388,YES
Klebsiella pneumoniae,2005,3,10,2.58,388,YES
Klebsiella pneumoniae,2005,4,0,0.0,388,YES
Klebsiella pneumoniae,2006,0,348,69.88,498,YES
Klebsiella pneumoniae,2006,1,34,6.83,498,YES
Klebsiella pneumoniae,2006,2,82,16.47,498,YES
Klebsiella pneumoniae,2006,3,34,6.83,498,YES
Klebsiella pneumoniae,2006,4,0,0.0,498,YES
Klebsiella pneumoniae,2007,0,529,71.49,740,YES
Klebsiella pneumoniae,2007,1,62,8.38,740,YES
Klebsiella pneumoniae,2007,2,113,15.27,740,YES
Klebsiella pneumoniae,2007,3,36,4.86,740,YES
Klebsiella pneumoniae,2007,4,0,0.0,740,YES
Klebsiella pneumoniae,2008,0,415,63.85,650,YES
Klebsiella pneumoniae,2008,1,76,11.69,650,YES
Klebsiella pneumoniae,2008,2,117,18.0,650,YES
Klebsiella pneumoniae,2008,3,42,6.46,650,YES
Klebsiella pneumoniae,2008,4,0,0.0,650,YES
Klebsiella pneumoniae,2009,0,481,64.05,751,YES
Klebsiella pneumoniae,2009,1,65,8.66,751,YES
Klebsiella pneumoniae,2009,2,151,20.11,751,YES
Klebsiella pneumoniae,2009,3,54,7.19,751,YES
Klebsiella pneumoniae,2009,4,0,0.0,751,YES
Klebsiella pneumoniae,2010,0,296,51.75,572,YES
Klebsiella pneumoniae,2010,1,128,22.38,572,YES
Klebsiella pneumoniae,2010,2,115,20.1,572,YES
Klebsiella pneumoniae,2010,3,33,5.77,572,YES
Klebsiella pneumoniae,2010,4,0,0.0,572,YES
Klebsiella pneumoniae,2011,0,296,74.37,398,YES
Klebsiella pneumoniae,2011,1,29,7.29,398,YES
Klebsiella pneumoniae,2011,2,53,13.32,398,YES
Klebsiella pneumoniae,2011,3,20,5.03,398,YES
Klebsiella pneumoniae,2011,4,0,0.0,398,YES
Klebsiella pneumoniae,2012,0,277,70.66,392,YES
Klebsiella pneumoniae,2012,1,35,8.93,392,YES
Klebsiella pneumoniae,2012,2,54,13.78,392,YES
Klebsiella pneumoniae,2012,3,26,6.63,392,YES
Klebsiella pneumoniae,2012,4,0,0.0,392,YES
Klebsiella pneumoniae,2013,0,308,74.94,411,YES
Klebsiella pneumoniae,2013,1,27,6.57,411,YES
Klebsiella pneumoniae,2013,2,51,12.41,411,YES
Klebsiella pneumoniae,2013,3,25,6.08,411,YES
Klebsiella pneumoniae,2013,4,0,0.0,411,YES
Klebsiella pneumoniae,2014,0,451,65.17,692,YES
Klebsiella pneumoniae,2014,1,57,8.24,692,YES
Klebsiella pneumoniae,2014,2,115,16.62,692,YES
Klebsiella pneumoniae,2014,3,47,6.79,692,YES
Klebsiella pneumoniae,2014,4,22,3.18,692,YES
