Organism,Total_Isolates,Amikacin_R,Amikacin_S,Amikacin_I_count,Amikacin_Tested,Amikacin_Rate_%,Amoxycillin clavulanate_R,Amoxycillin clavulanate_S,Amoxycillin clavulanate_I_count,Amoxycillin clavulanate_Tested,Amoxycillin clavulanate_Rate_%,Ampicillin sulbactam_R,Ampicillin sulbactam_S,Ampicillin sulbactam_I_count,Ampicillin sulbactam_Tested,Ampicillin sulbactam_Rate_%,Ampicillin_R,Ampicillin_S,Ampicillin_I_count,Ampicillin_Tested,Ampicillin_Rate_%,Azithromycin_R,Azithromycin_S,Azithromycin_I_count,Azithromycin_Tested,Azithromycin_Rate_%,Aztreonam_R,Aztreonam_S,Aztreonam_I_count,Aztreonam_Tested,Aztreonam_Rate_%,Cefepime_R,Cefepime_S,Cefepime_I_count,Cefepime_Tested,Cefepime_Rate_%,Cefiderocol_R,Cefiderocol_S,Cefiderocol_I_count,Cefiderocol_Tested,Cefiderocol_Rate_%,Cefixime_R,Cefixime_S,Cefixime_I_count,Cefixime_Tested,Cefixime_Rate_%,Cefoxitin_R,Cefoxitin_S,Cefoxitin_I_count,Cefoxitin_Tested,Cefoxitin_Rate_%,Cefpodoxime_R,Cefpodoxime_S,Cefpodoxime_I_count,Cefpodoxime_Tested,Cefpodoxime_Rate_%,Ceftaroline_R,Ceftaroline_S,Ceftaroline_I_count,Ceftaroline_Tested,Ceftaroline_Rate_%,Ceftazidime avibactam_R,Ceftazidime avibactam_S,Ceftazidime avibactam_I_count,Ceftazidime avibactam_Tested,Ceftazidime avibactam_Rate_%,Ceftazidime_R,Ceftazidime_S,Ceftazidime_I_count,Ceftazidime_Tested,Ceftazidime_Rate_%,Ceftibuten_R,Ceftibuten_S,Ceftibuten_I_count,Ceftibuten_Tested,Ceftibuten_Rate_%,Ceftolozane tazobactam_R,Ceftolozane tazobactam_S,Ceftolozane tazobactam_I_count,Ceftolozane tazobactam_Tested,Ceftolozane tazobactam_Rate_%,Ceftriaxone_R,Ceftriaxone_S,Ceftriaxone_I_count,Ceftriaxone_Tested,Ceftriaxone_Rate_%,Ciprofloxacin_R,Ciprofloxacin_S,Ciprofloxacin_I_count,Ciprofloxacin_Tested,Ciprofloxacin_Rate_%,Clarithromycin_R,Clarithromycin_S,Clarithromycin_I_count,Clarithromycin_Tested,Clarithromycin_Rate_%,Clindamycin_R,Clindamycin_S,Clindamycin_I_count,Clindamycin_Tested,Clindamycin_Rate_%,Colistin_R,Colistin_S,Colistin_I_count,Colistin_Tested,Colistin_Rate_%,Daptomycin_R,Daptomycin_S,Daptomycin_I_count,Daptomycin_Tested,Daptomycin_Rate_%,Doripenem_R,Doripenem_S,Doripenem_I_count,Doripenem_Tested,Doripenem_Rate_%,Ertapenem_R,Ertapenem_S,Ertapenem_I_count,Ertapenem_Tested,Ertapenem_Rate_%,Erythromycin_R,Erythromycin_S,Erythromycin_I_count,Erythromycin_Tested,Erythromycin_Rate_%,Gentamicin_R,Gentamicin_S,Gentamicin_I_count,Gentamicin_Tested,Gentamicin_Rate_%,Imipenem_R,Imipenem_S,Imipenem_I_count,Imipenem_Tested,Imipenem_Rate_%,Levofloxacin_R,Levofloxacin_S,Levofloxacin_I_count,Levofloxacin_Tested,Levofloxacin_Rate_%,Linezolid_R,Linezolid_S,Linezolid_I_count,Linezolid_Tested,Linezolid_Rate_%,Meropenem vaborbactam_R,Meropenem vaborbactam_S,Meropenem vaborbactam_I_count,Meropenem vaborbactam_Tested,Meropenem vaborbactam_Rate_%,Meropenem_R,Meropenem_S,Meropenem_I_count,Meropenem_Tested,Meropenem_Rate_%,Metronidazole_R,Metronidazole_S,Metronidazole_I_count,Metronidazole_Tested,Metronidazole_Rate_%,Minocycline_R,Minocycline_S,Minocycline_I_count,Minocycline_Tested,Minocycline_Rate_%,Moxifloxacin_R,Moxifloxacin_S,Moxifloxacin_I_count,Moxifloxacin_Tested,Moxifloxacin_Rate_%,Oxacillin_R,Oxacillin_S,Oxacillin_I_count,Oxacillin_Tested,Oxacillin_Rate_%,Penicillin_R,Penicillin_S,Penicillin_I_count,Penicillin_Tested,Penicillin_Rate_%,Piperacillin tazobactam_R,Piperacillin tazobactam_S,Piperacillin tazobactam_I_count,Piperacillin tazobactam_Tested,Piperacillin tazobactam_Rate_%,Quinupristin dalfopristin_R,Quinupristin dalfopristin_S,Quinupristin dalfopristin_I_count,Quinupristin dalfopristin_Tested,Quinupristin dalfopristin_Rate_%,Teicoplanin_R,Teicoplanin_S,Teicoplanin_I_count,Teicoplanin_Tested,Teicoplanin_Rate_%,Tetracycline_R,Tetracycline_S,Tetracycline_I_count,Tetracycline_Tested,Tetracycline_Rate_%,Tigecycline_R,Tigecycline_S,Tigecycline_I_count,Tigecycline_Tested,Tigecycline_Rate_%,Trimethoprim sulfa_R,Trimethoprim sulfa_S,Trimethoprim sulfa_I_count,Trimethoprim sulfa_Tested,Trimethoprim sulfa_Rate_%,Vancomycin_R,Vancomycin_S,Vancomycin_I_count,Vancomycin_Tested,Vancomycin_Rate_%
Klebsiella pneumoniae,15600,1639,13341,620,15600,10.51,3302,10366,1932,15600,21.17,3131,3721,735,7587,41.27,14039,291,1264,15594,90.03,0,0,0,0,InsufficientData,3676,4977,99,8752,42.0,4605,10052,943,15600,29.52,0,1176,4,1180,0.0,1475,1859,16,3350,44.03,0,0,0,0,InsufficientData,1494,1844,12,3350,44.6,4161,4424,167,8752,47.54,555,8197,0,8752,6.34,4354,7162,486,12002,36.28,721,2451,178,3350,21.52,1358,4584,135,6077,22.35,2258,5194,58,7510,30.07,3102,3984,501,7587,40.89,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,344,0,8408,8752,3.93,0,0,0,0,InsufficientData,82,1077,6,1165,7.04,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,2155,5402,30,7587,28.4,1416,8090,242,9748,14.53,4327,10204,1069,15600,27.74,0,0,0,0,InsufficientData,583,5111,45,5739,10.16,1688,12735,181,14604,11.56,0,0,0,0,InsufficientData,1086,5144,618,6848,15.86,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,3983,10747,870,15600,25.53,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,78,15072,450,15600,0.5,3386,4200,0,7586,44.63,0,0,0,0,InsufficientData
Acinetobacter baumannii,4147,2046,1926,175,4147,49.34,0,0,0,0,InsufficientData,1080,640,308,2028,53.25,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,2450,1390,307,4147,59.08,12,203,6,221,5.43,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,2646,1351,150,4147,63.81,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1166,451,423,2040,57.16,1481,531,16,2028,73.03,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,63,0,2077,2140,2.94,0,0,0,0,InsufficientData,72,40,0,112,64.29,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1286,684,58,2028,63.41,1600,897,41,2538,63.04,2395,1427,325,4147,57.75,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,2367,1312,70,3749,63.14,0,0,0,0,InsufficientData,118,1663,226,2007,5.88,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,2645,1320,182,4147,63.78,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1250,778,0,2028,61.64,0,0,0,0,InsufficientData
Escherichia coli,22675,630,20226,1819,22675,2.78,2027,17232,3416,22675,8.94,1672,6421,1702,9795,17.07,14115,8368,192,22675,62.25,0,2,0,2,InsufficientData,2277,8546,466,11289,20.17,3033,18310,1332,22675,13.38,3,1364,5,1372,0.22,1220,2965,93,4278,28.52,0,0,0,0,InsufficientData,1225,3022,31,4278,28.63,3270,7781,238,11289,28.97,91,11198,0,11289,0.81,2368,13583,911,16862,14.04,315,3814,149,4278,7.36,206,7370,48,7624,2.7,2221,9909,94,12224,18.17,3285,6115,395,9795,33.54,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,59,0,11230,11289,0.52,0,0,0,0,InsufficientData,8,1485,1,1494,0.54,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1494,8239,62,9795,15.25,130,12917,58,13105,0.99,7293,14921,461,22675,32.16,0,0,0,0,InsufficientData,57,7167,7,7231,0.79,139,20688,32,20859,0.67,0,0,0,0,InsufficientData,1048,9355,983,11386,9.2,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1450,20531,694,22675,6.39,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,4,22658,13,22675,0.02,3819,5976,0,9795,38.99,0,0,0,0,InsufficientData
Staphylococcus aureus,18112,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,21,60,2,83,25.3,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,5,11050,288,11343,0.04,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1289,10028,26,11343,11.36,0,0,0,0,InsufficientData,0,11321,22,11343,0.0,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,4215,6828,300,11343,37.16,934,10251,158,11343,8.23,0,0,0,0,InsufficientData,5395,12582,135,18112,29.79,2,18110,0,18112,0.01,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,107,8726,147,8980,1.19,970,1191,50,2211,43.87,3681,7662,0,11343,32.45,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,2,11340,1,11343,0.02,0,0,0,0,InsufficientData,0,18075,37,18112,0.0,188,11155,0,11343,1.66,1,18111,0,18112,0.01
Pseudomonas aeruginosa,9328,527,8606,195,9328,5.65,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,920,3973,586,5479,16.79,951,7577,800,9328,10.2,1,561,4,566,0.18,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,431,5048,0,5479,7.87,1403,7455,470,9328,15.04,0,0,0,0,InsufficientData,275,3509,71,3855,7.13,0,0,0,0,InsufficientData,728,3996,163,4887,14.9,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,37,0,5442,5479,0.68,0,0,0,0,InsufficientData,86,467,39,592,14.53,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1292,4205,562,6059,21.32,2059,6557,711,9327,22.08,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1471,6776,501,8748,16.82,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1541,7249,538,9328,16.52,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData
Enterobacter cloacae,5227,233,4828,166,5227,4.46,4870,175,182,5227,93.17,521,271,150,942,55.31,4582,254,383,5219,87.79,0,4,0,4,InsufficientData,384,777,9,1170,32.82,578,4106,543,5227,11.06,0,28,0,28,0.0,65,14,28,107,60.75,0,0,0,0,InsufficientData,47,40,20,107,43.93,462,665,43,1170,39.49,42,1128,0,1170,3.59,947,1864,141,2952,32.08,27,75,5,107,25.23,67,368,27,462,14.5,1588,2503,92,4183,37.96,178,725,39,942,18.9,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,144,0,1026,1170,12.31,0,0,0,0,InsufficientData,9,218,1,228,3.95,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,142,793,7,942,15.07,70,1704,59,1833,3.82,722,4307,198,5227,13.81,0,0,0,0,InsufficientData,5,394,5,404,1.24,125,4408,31,4564,2.74,0,0,0,0,InsufficientData,477,3053,527,4057,11.76,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1326,3668,233,5227,25.37,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,37,5044,146,5227,0.71,208,734,0,942,22.08,0,0,0,0,InsufficientData
Enterococcus faecium,3598,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,3093,505,0,3598,85.96,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,123,0,1609,1732,7.1,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1433,90,209,1732,82.74,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,3038,462,97,3597,84.46,12,3551,35,3598,0.33,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,265,1335,367,1967,13.47,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1585,281,0,1866,84.94,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,342,1371,19,1732,19.75,0,0,0,0,InsufficientData,0,3558,40,3598,0.0,0,0,0,0,InsufficientData,952,2612,34,3598,26.46
Staphylococcus epidermidis,4130,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1344,2064,107,3515,38.24,0,0,0,0,InsufficientData,0,3512,3,3515,0.0,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,2373,1079,63,3515,67.51,1451,1797,267,3515,41.28,0,0,0,0,InsufficientData,2361,1651,118,4130,57.17,60,4070,0,4130,1.45,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1,1527,2,1530,0.07,367,352,196,915,40.11,2687,828,0,3515,76.44,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,5,3466,44,3515,0.14,0,0,0,0,InsufficientData,0,4104,26,4130,0.0,1424,2091,0,3515,40.51,1,4127,2,4130,0.02
Serratia marcescens,3270,204,2899,167,3270,6.24,2997,105,168,3270,91.65,475,299,245,1019,46.61,2805,165,295,3265,85.91,0,0,0,0,InsufficientData,110,980,4,1094,10.05,229,2940,101,3270,7.0,0,118,0,118,0.0,56,274,26,356,15.73,0,0,0,0,InsufficientData,71,230,55,356,19.94,283,482,329,1094,25.87,18,1076,0,1094,1.65,122,1927,69,2118,5.76,13,332,11,356,3.65,36,649,17,702,5.13,394,1743,86,2223,17.72,112,868,39,1019,10.99,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,1044,0,50,1094,95.43,0,0,0,0,InsufficientData,2,73,0,75,2.67,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,78,924,17,1019,7.65,66,1269,95,1430,4.62,284,2820,166,3270,8.69,0,0,0,0,InsufficientData,6,673,2,681,0.88,84,2836,14,2934,2.86,0,0,0,0,InsufficientData,157,1683,336,2176,7.22,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,284,2898,88,3270,8.69,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,33,3156,81,3270,1.01,92,927,0,1019,9.03,0,0,0,0,InsufficientData
Citrobacter koseri,474,3,470,1,474,0.63,13,456,5,474,2.74,15,311,3,329,4.56,447,3,24,474,94.3,0,0,0,0,InsufficientData,14,366,2,382,3.66,3,463,8,474,0.63,0,59,0,59,0.0,8,161,1,170,4.71,0,0,0,0,InsufficientData,9,159,2,170,5.29,22,352,8,382,5.76,2,380,0,382,0.52,13,457,4,474,2.74,1,168,1,170,0.59,2,279,0,281,0.71,3,124,0,127,2.36,7,318,4,329,2.13,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,3,0,379,382,0.79,0,0,0,0,InsufficientData,0,53,0,53,0.0,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,2,327,0,329,0.61,2,379,3,384,0.52,4,459,11,474,0.84,0,0,0,0,InsufficientData,0,262,0,262,0.0,0,471,1,472,0.0,0,0,0,0,InsufficientData,0,92,0,92,0.0,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,11,453,10,474,2.32,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,0,0,0,InsufficientData,0,474,0,474,0.0,6,323,0,329,1.82,0,0,0,0,InsufficientData
