Organism,Year,Antibiotic,Antibiotic_Class,Resistant,Susceptible,Intermediate,Total_Tested,Resistance_Rate_%,Sufficient_Data
Klebsiella pneumoniae,2004,Ceftriaxone,Cephalosporins,65,291,4,360,18.06,YES
Klebsiella pneumoniae,2004,Meropenem,Carbapenems,1,20,1,22,4.55,YES
Klebsiella pneumoniae,2004,Levofloxacin,Fluoroquinolones,51,299,10,360,14.17,YES
Klebsiella pneumoniae,2004,Amikacin,Aminoglycosides,24,311,25,360,6.67,YES
Klebsiella pneumoniae,2004,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2004,Colistin,Polymyxins,0,0,0,0,,NO
Klebsiella pneumoniae,2004,Piperacillin tazobactam,Penicillins,38,315,7,360,10.56,YES
Klebsiella pneumoniae,2004,Tigecycline,Tetracyclines,3,340,17,360,0.83,YES
Klebsiella pneumoniae,2004,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2004,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2005,Ceftriaxone,Cephalosporins,71,316,1,388,18.3,YES
Klebsiella pneumoniae,2005,Meropenem,Carbapenems,2,25,1,28,7.14,YES
Klebsiella pneumoniae,2005,Levofloxacin,Fluoroquinolones,60,313,15,388,15.46,YES
Klebsiella pneumoniae,2005,Amikacin,Aminoglycosides,32,340,16,388,8.25,YES
Klebsiella pneumoniae,2005,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2005,Colistin,Polymyxins,0,0,0,0,,NO
Klebsiella pneumoniae,2005,Piperacillin tazobactam,Penicillins,52,328,8,388,13.4,YES
Klebsiella pneumoniae,2005,Tigecycline,Tetracyclines,1,374,13,388,0.26,YES
Klebsiella pneumoniae,2005,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2005,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2006,Ceftriaxone,Cephalosporins,145,351,2,498,29.12,YES
Klebsiella pneumoniae,2006,Meropenem,Carbapenems,10,201,6,217,4.61,YES
Klebsiella pneumoniae,2006,Levofloxacin,Fluoroquinolones,122,360,16,498,24.5,YES
Klebsiella pneumoniae,2006,Amikacin,Aminoglycosides,61,404,33,498,12.25,YES
