Dataset,Country,WHO_Region,Organism,Total_N,MDR_Count,MDR_Rate_%,Sufficient
GEARS,Argentina,AMRO,Klebsiella pneumoniae,6,5,83.33,NO
GEARS,Argentina,AMRO,Escherichia coli,5,1,20.0,NO
GEARS,Argentina,AMRO,Pseudomonas aeruginosa,1,1,100.0,NO
GEARS,Argentina,AMRO,Enterobacter cloacae,1,0,0.0,NO
GEARS,Argentina,AMRO,Serratia marcescens,2,0,0.0,NO
GEARS,Argentina,AMRO,Citrobacter koseri,1,0,0.0,NO
GEARS,Australia,WPRO,Klebsiella pneumoniae,4,0,0.0,NO
GEARS,Australia,WPRO,Escherichia coli,4,0,0.0,NO
GEARS,Australia,WPRO,Pseudomonas aeruginosa,5,1,20.0,NO
GEARS,Australia,WPRO,Enterobacter cloacae,1,0,0.0,NO
GEARS,Australia,WPRO,Serratia marcescens,1,0,0.0,NO
GEARS,Belgium,EURO,Klebsiella pneumoniae,11,2,18.18,YES
GEARS,Belgium,EURO,Escherichia coli,12,0,0.0,YES
GEARS,Belgium,EURO,Pseudomonas aeruginosa,4,0,0.0,NO
GEARS,Belgium,EURO,Serratia marcescens,1,1,100.0,NO
GEARS,Belgium,EURO,Citrobacter koseri,1,0,0.0,NO
GEARS,Brazil,AMRO,Klebsiella pneumoniae,5,3,60.0,NO
GEARS,Brazil,AMRO,Escherichia coli,2,0,0.0,NO
GEARS,Brazil,AMRO,Pseudomonas aeruginosa,6,0,0.0,NO
GEARS,Brazil,AMRO,Enterobacter cloacae,2,1,50.0,NO
GEARS,Brazil,AMRO,Serratia marcescens,3,3,100.0,NO
GEARS,Cameroon,AFRO,Escherichia coli,1,1,100.0,NO
GEARS,Canada,AMRO,Klebsiella pneumoniae,29,3,10.34,YES
GEARS,Canada,AMRO,Escherichia coli,50,4,8.0,YES
GEARS,Canada,AMRO,Pseudomonas aeruginosa,12,1,8.33,YES
GEARS,Canada,AMRO,Enterobacter cloacae,3,0,0.0,NO
GEARS,Canada,AMRO,Serratia marcescens,2,0,0.0,NO
GEARS,Chile,AMRO,Klebsiella pneumoniae,4,3,75.0,NO
GEARS,Chile,AMRO,Escherichia coli,5,0,0.0,NO
GEARS,Chile,AMRO,Pseudomonas aeruginosa,3,1,33.33,NO
GEARS,Chile,AMRO,Enterobacter cloacae,2,0,0.0,NO
GEARS,Chile,AMRO,Serratia marcescens,1,0,0.0,NO
GEARS,Chile,AMRO,Citrobacter koseri,1,0,0.0,NO
GEARS,Colombia,AMRO,Klebsiella pneumoniae,18,8,44.44,YES
GEARS,Colombia,AMRO,Escherichia coli,18,4,22.22,YES
GEARS,Colombia,AMRO,Pseudomonas aeruginosa,8,5,62.5,NO
GEARS,Colombia,AMRO,Enterobacter cloacae,4,0,0.0,NO
GEARS,Colombia,AMRO,Serratia marcescens,5,2,40.0,NO
GEARS,Costa Rica,AMRO,Klebsiella pneumoniae,5,1,20.0,NO
GEARS,Costa Rica,AMRO,Escherichia coli,5,1,20.0,NO
GEARS,Costa Rica,AMRO,Pseudomonas aeruginosa,1,0,0.0,NO
GEARS,Costa Rica,AMRO,Serratia marcescens,2,0,0.0,NO
GEARS,Croatia,EURO,Klebsiella pneumoniae,13,7,53.85,YES
GEARS,Croatia,EURO,Escherichia coli,10,2,20.0,YES
GEARS,Croatia,EURO,Pseudomonas aeruginosa,10,2,20.0,YES
GEARS,Croatia,EURO,Enterobacter cloacae,3,1,33.33,NO
GEARS,Croatia,EURO,Serratia marcescens,1,0,0.0,NO
GEARS,Croatia,EURO,Citrobacter koseri,2,0,0.0,NO
GEARS,Czech Republic,EURO,Klebsiella pneumoniae,8,6,75.0,NO
GEARS,Czech Republic,EURO,Escherichia coli,13,2,15.38,YES
GEARS,Czech Republic,EURO,Pseudomonas aeruginosa,3,0,0.0,NO
GEARS,Denmark,EURO,Klebsiella pneumoniae,6,0,0.0,NO
