Country,Year,Health_Exp_PCT_GDP,Is_HIC,HIC_Mean_Exp
Afghanistan,2005,9.9,False,7.34
Afghanistan,2010,8.6,False,8.16
Afghanistan,2015,10.1,False,8.41
Afghanistan,2020,15.5,False,9.4
Afghanistan,2021,21.5,False,9.32
Afghanistan,2022,23.1,False,8.71
Albania,2005,5.7,False,7.34
Albania,2010,6.2,False,8.16
Albania,2015,6.5,False,8.41
Albania,2020,7.5,False,9.4
Albania,2021,7.4,False,9.32
Albania,2022,6.2,False,8.71
Algeria,2005,3.1,False,7.34
Algeria,2010,4.6,False,8.16
Algeria,2015,6.3,False,8.41
Algeria,2020,5.6,False,9.4
Algeria,2021,5.0,False,9.32
Algeria,2022,3.6,False,8.71
Andorra,2005,5.6,False,7.34
Andorra,2010,7.7,False,8.16
Andorra,2015,6.9,False,8.41
Andorra,2020,8.8,False,9.4
Andorra,2021,8.3,False,9.32
Andorra,2022,7.5,False,8.71
Angola,2005,2.9,False,7.34
Angola,2010,2.7,False,8.16
Angola,2015,2.6,False,8.41
Angola,2020,3.3,False,9.4
Angola,2021,3.1,False,9.32
Angola,2022,2.9,False,8.71
Antigua and Barbuda,2005,5.0,False,7.34
Antigua and Barbuda,2010,5.4,False,8.16
Antigua and Barbuda,2015,5.3,False,8.41
Antigua and Barbuda,2020,5.7,False,9.4
Antigua and Barbuda,2021,5.0,False,9.32
Antigua and Barbuda,2022,5.7,False,8.71
Argentina,2005,7.6,False,7.34
Argentina,2010,9.4,False,8.16
Argentina,2015,10.2,False,8.41
Argentina,2020,10.5,False,9.4
Argentina,2021,10.0,False,9.32
Argentina,2022,9.9,False,8.71
Armenia,2005,5.9,False,7.34
Armenia,2010,9.2,False,8.16
Armenia,2015,10.1,False,8.41
Armenia,2020,12.2,False,9.4
Armenia,2021,12.3,False,9.32
Armenia,2022,10.0,False,8.71
Australia,2005,8.0,True,7.34
Australia,2010,8.4,True,8.16
Australia,2015,10.2,True,8.41
Australia,2020,10.7,True,9.4
Australia,2021,10.4,True,9.32
Australia,2022,9.9,True,8.71
Austria,2005,9.6,True,7.34
Austria,2010,10.2,True,8.16
Austria,2015,10.4,True,8.41
Austria,2020,11.3,True,9.4
Austria,2021,12.2,True,9.32
Austria,2022,11.2,True,8.71
Azerbaijan,2005,2.2,False,7.34
Azerbaijan,2010,2.6,False,8.16
Azerbaijan,2015,4.3,False,8.41
Azerbaijan,2020,5.8,False,9.4
Azerbaijan,2021,4.7,False,9.32
Azerbaijan,2022,4.0,False,8.71
Bahamas (The),2005,4.0,False,7.34
Bahamas (The),2010,5.3,False,8.16
Bahamas (The),2015,5.2,False,8.41
Bahamas (The),2020,7.6,False,9.4
Bahamas (The),2021,7.0,False,9.32
Bahamas (The),2022,7.2,False,8.71
Bahrain,2005,3.3,False,7.34
Bahrain,2010,4.1,False,8.16
Bahrain,2015,5.0,False,8.41
Bahrain,2020,4.7,False,9.4
Bahrain,2021,4.5,False,9.32
Bahrain,2022,3.8,False,8.71
Bangladesh,2005,2.1,False,7.34
Bangladesh,2010,2.3,False,8.16
Bangladesh,2015,2.3,False,8.41
Bangladesh,2020,2.3,False,9.4
Bangladesh,2021,2.4,False,9.32
Bangladesh,2022,2.4,False,8.71
Barbados,2005,6.8,False,7.34
Barbados,2010,6.8,False,8.16
Barbados,2015,6.8,False,8.41
Barbados,2020,7.3,False,9.4
Barbados,2021,7.9,False,9.32
Barbados,2022,6.3,False,8.71
Belarus,2005,6.1,False,7.34
Belarus,2010,5.7,False,8.16
Belarus,2015,6.1,False,8.41
Belarus,2020,6.4,False,9.4
Belarus,2021,6.6,False,9.32
Belarus,2022,6.7,False,8.71
Belgium,2005,9.2,True,7.34
Belgium,2010,10.2,True,8.16
Belgium,2015,10.8,True,8.41
Belgium,2020,11.3,True,9.4
Belgium,2021,11.0,True,9.32
Belgium,2022,10.8,True,8.71
Belize,2005,3.6,False,7.34
Belize,2010,4.5,False,8.16
Belize,2015,4.7,False,8.41
Belize,2020,5.4,False,9.4
Belize,2021,5.1,False,9.32
Belize,2022,4.2,False,8.71
Benin,2005,3.2,False,7.34
Benin,2010,3.0,False,8.16
Benin,2015,2.7,False,8.41
Benin,2020,2.7,False,9.4
Benin,2021,2.6,False,9.32
Benin,2022,2.7,False,8.71
