Organism,Country,Year,Age_Category,N_Isolates,MDR_Count,XDR_Count,PDR_Count,MDR_Rate_%,XDR_Rate_%,PDR_Rate_%,Income_Group,MDR_Definition
Klebsiella pneumoniae,Canada,2004,Elderly,15,2,2,0,13.33,13.33,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2004,Elderly,10,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2004,Elderly,12,3,2,0,25.0,16.67,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Singapore,2004,Elderly,21,2,1,0,9.52,4.76,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2004,Elderly,17,1,0,0,5.88,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Switzerland,2004,Elderly,11,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United Kingdom,2004,Elderly,21,2,1,0,9.52,4.76,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2004,Pediatric,27,2,1,0,7.41,3.7,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2004,Elderly,150,23,17,2,15.33,11.33,1.33,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Argentina,2005,Elderly,13,5,2,0,38.46,15.38,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2005,Elderly,10,1,0,0,10.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2005,Elderly,17,4,2,0,23.53,11.76,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Ireland,2005,Elderly,12,2,0,0,16.67,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2005,Elderly,11,1,1,0,9.09,9.09,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2005,Elderly,13,1,0,0,7.69,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2005,Pediatric,40,3,1,0,7.5,2.5,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2005,Elderly,208,39,21,3,18.75,10.1,1.44,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Argentina,2006,Elderly,13,8,6,0,61.54,46.15,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Australia,2006,Elderly,22,3,0,0,13.64,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2006,Elderly,12,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Chile,2006,Elderly,12,4,4,0,33.33,33.33,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Denmark,2006,Elderly,17,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Greece,2006,Elderly,16,10,10,1,62.5,62.5,6.25,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Hong Kong,2006,Elderly,14,2,0,0,14.29,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Israel,2006,Elderly,13,9,7,0,69.23,53.85,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2006,Elderly,17,8,6,2,47.06,35.29,11.76,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,"Korea, South",2006,Elderly,19,6,3,0,31.58,15.79,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Singapore,2006,Elderly,14,4,1,0,28.57,7.14,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Sweden,2006,Elderly,13,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Taiwan,2006,Elderly,47,10,8,0,21.28,17.02,0.0,High Income,Magiorakos2012_R+I
