Organism,Country,Alert_Year,Current_MDR_Rate_%,Already_Above_50,ARIMA_Forecast_%,Prophet_Forecast_%,Ensemble_Mean_%,ARIMA_Alert,Prophet_Alert,Both_Models_Alert,Models_Alerting
Acinetobacter baumannii,Croatia,2025,100.0,True,99.99,99.87,99.93,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,France,2025,50.0,False,45.78,58.74,52.26,False,True,False,Prophet
Acinetobacter baumannii,Italy,2025,70.0,True,60.28,91.77,76.03,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Spain,2025,64.29,True,93.19,68.69,80.94,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,United States,2025,57.14,True,53.14,55.56,54.35,True,True,True,ARIMA+Prophet
Enterobacter cloacae,Canada,2025,40.91,False,65.1,24.63,44.86,True,False,False,ARIMA
Enterobacter cloacae,France,2025,100.0,True,92.22,66.5,79.36,True,True,True,ARIMA+Prophet
Enterobacter cloacae,Italy,2025,52.38,True,51.98,10.45,31.21,True,False,False,ARIMA
Enterobacter cloacae,Spain,2025,66.67,True,66.47,44.24,55.36,True,False,False,ARIMA
Enterobacter cloacae,United States,2026,36.36,False,66.78,44.71,55.74,True,False,False,ARIMA
Enterococcus faecium,Canada,2025,80.0,True,81.8,98.66,90.23,True,True,True,ARIMA+Prophet
Enterococcus faecium,France,2025,80.95,True,41.24,100.0,70.62,False,True,False,Prophet
Enterococcus faecium,Germany,2025,91.67,True,86.04,100.0,93.02,True,True,True,ARIMA+Prophet
Enterococcus faecium,Italy,2025,100.0,True,96.22,100.0,98.11,True,True,True,ARIMA+Prophet
Enterococcus faecium,Spain,2025,72.73,True,73.45,98.77,86.11,True,True,True,ARIMA+Prophet
Enterococcus faecium,United States,2025,100.0,True,88.07,91.57,89.82,True,True,True,ARIMA+Prophet
Escherichia coli,Argentina,2025,46.15,False,56.81,62.25,59.53,True,True,True,ARIMA+Prophet
Escherichia coli,Australia,2028,18.18,False,24.68,50.86,37.77,False,True,False,Prophet
Escherichia coli,Belgium,2025,62.5,True,63.29,56.37,59.83,True,True,True,ARIMA+Prophet
Escherichia coli,Brazil,2025,47.73,False,48.74,69.18,58.96,False,True,False,Prophet
Escherichia coli,Canada,2029,30.43,False,51.66,46.72,49.19,True,False,False,ARIMA
Escherichia coli,China,2025,79.78,True,82.96,86.5,84.73,True,True,True,ARIMA+Prophet
Escherichia coli,Colombia,2025,68.75,True,82.73,86.16,84.44,True,True,True,ARIMA+Prophet
Escherichia coli,Croatia,2025,53.97,True,68.38,50.32,59.35,True,True,True,ARIMA+Prophet
Escherichia coli,France,2026,46.67,False,44.26,50.3,47.28,False,True,False,Prophet
Escherichia coli,Greece,2025,80.0,True,91.13,59.68,75.4,True,True,True,ARIMA+Prophet
Escherichia coli,India,2025,89.13,True,85.7,87.64,86.67,True,True,True,ARIMA+Prophet
Escherichia coli,Ireland,2025,40.0,False,47.55,51.05,49.3,False,True,False,Prophet
