Organism,Country,Year,Prophet_Forecast_%,Prophet_CI_Lower_%,Prophet_CI_Upper_%
Klebsiella pneumoniae,Argentina,2025.0,81.23,70.54,92.42
Klebsiella pneumoniae,Argentina,2026.0,83.19,72.44,94.66
Klebsiella pneumoniae,Argentina,2027.0,85.15,74.45,97.84
Klebsiella pneumoniae,Argentina,2028.0,87.11,76.84,98.12
Klebsiella pneumoniae,Argentina,2029.0,89.08,77.26,100.0
Klebsiella pneumoniae,Argentina,2030.0,91.04,78.1,100.0
Klebsiella pneumoniae,Australia,2025.0,11.95,0.22,23.81
Klebsiella pneumoniae,Australia,2026.0,11.77,0.0,23.87
Klebsiella pneumoniae,Australia,2027.0,11.58,0.0,24.18
Klebsiella pneumoniae,Australia,2028.0,11.39,0.0,22.98
Klebsiella pneumoniae,Australia,2029.0,11.21,0.0,23.04
Klebsiella pneumoniae,Australia,2030.0,11.02,0.01,25.24
Klebsiella pneumoniae,Belgium,2025.0,52.19,38.26,65.2
Klebsiella pneumoniae,Belgium,2026.0,54.01,40.19,67.45
Klebsiella pneumoniae,Belgium,2027.0,55.84,44.15,70.56
Klebsiella pneumoniae,Belgium,2028.0,57.66,44.08,70.68
Klebsiella pneumoniae,Belgium,2029.0,59.48,46.61,73.75
Klebsiella pneumoniae,Belgium,2030.0,61.31,46.53,76.47
Klebsiella pneumoniae,Brazil,2025.0,78.08,67.69,89.05
Klebsiella pneumoniae,Brazil,2026.0,79.13,68.96,89.3
Klebsiella pneumoniae,Brazil,2027.0,80.18,70.84,90.14
Klebsiella pneumoniae,Brazil,2028.0,81.22,71.76,90.85
Klebsiella pneumoniae,Brazil,2029.0,82.27,73.14,91.57
Klebsiella pneumoniae,Brazil,2030.0,83.32,74.0,93.62
Klebsiella pneumoniae,Canada,2025.0,26.87,17.62,37.11
Klebsiella pneumoniae,Canada,2026.0,27.93,18.24,38.93
Klebsiella pneumoniae,Canada,2027.0,28.99,18.06,39.38
Klebsiella pneumoniae,Canada,2028.0,30.05,19.52,40.94
Klebsiella pneumoniae,Canada,2029.0,31.11,21.98,41.54
Klebsiella pneumoniae,Canada,2030.0,32.17,20.81,41.44
Klebsiella pneumoniae,Chile,2025.0,86.89,66.91,100.0
Klebsiella pneumoniae,Chile,2026.0,88.66,68.85,100.0
Klebsiella pneumoniae,Chile,2027.0,90.44,71.61,100.0
Klebsiella pneumoniae,Chile,2028.0,92.21,72.79,100.0
Klebsiella pneumoniae,Chile,2029.0,93.99,74.6,100.0
Klebsiella pneumoniae,Chile,2030.0,95.76,75.85,100.0
Klebsiella pneumoniae,China,2025.0,60.48,42.56,80.54
Klebsiella pneumoniae,China,2026.0,60.87,42.34,78.5
Klebsiella pneumoniae,China,2027.0,61.26,40.24,78.35
Klebsiella pneumoniae,China,2028.0,61.66,42.29,79.75
Klebsiella pneumoniae,China,2029.0,62.05,44.36,81.02
Klebsiella pneumoniae,China,2030.0,62.45,39.89,82.0
Klebsiella pneumoniae,Colombia,2025.0,71.09,48.43,93.17
Klebsiella pneumoniae,Colombia,2026.0,73.28,51.04,96.37
