Organism,Country,Total_Years,Valid_Years,Reason
Klebsiella pneumoniae,Austria,9,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Bulgaria,7,1,Fewer than 8 valid data points
Klebsiella pneumoniae,Cameroon,4,1,Fewer than 8 valid data points
Klebsiella pneumoniae,Costa Rica,7,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Dominican Republic,5,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Egypt,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,El Salvador,2,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Finland,3,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Ghana,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Guatemala,12,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Honduras,3,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Hong Kong,10,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Ivory Coast,5,3,Fewer than 8 valid data points
Klebsiella pneumoniae,Jamaica,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Japan,11,4,Fewer than 8 valid data points
Klebsiella pneumoniae,Jordan,12,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Kenya,3,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Kuwait,12,7,Fewer than 8 valid data points
Klebsiella pneumoniae,Latvia,7,2,Fewer than 8 valid data points
Klebsiella pneumoniae,Lithuania,10,6,Fewer than 8 valid data points
Klebsiella pneumoniae,Malawi,3,1,Fewer than 8 valid data points
Klebsiella pneumoniae,Malaysia,13,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Mauritius,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Morocco,12,6,Fewer than 8 valid data points
Klebsiella pneumoniae,Netherlands,16,0,Fewer than 8 valid data points
Klebsiella pneumoniae,New Zealand,6,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Nigeria,8,6,Fewer than 8 valid data points
Klebsiella pneumoniae,Pakistan,4,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Panama,13,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Philippines,14,2,Fewer than 8 valid data points
Klebsiella pneumoniae,Puerto Rico,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Qatar,6,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Russia,5,2,Fewer than 8 valid data points
Klebsiella pneumoniae,Saudi Arabia,10,2,Fewer than 8 valid data points
Klebsiella pneumoniae,Serbia,1,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Singapore,9,4,Fewer than 8 valid data points
Klebsiella pneumoniae,Slovak Republic,4,0,Fewer than 8 valid data points
Klebsiella pneumoniae,Slovenia,10,1,Fewer than 8 valid data points
Klebsiella pneumoniae,South Africa,14,7,Fewer than 8 valid data points
Klebsiella pneumoniae,Sweden,17,5,Fewer than 8 valid data points
Klebsiella pneumoniae,Switzerland,19,4,Fewer than 8 valid data points
Klebsiella pneumoniae,Thailand,12,5,Fewer than 8 valid data points
