Organism,Country,Alert_Year,Current_MDR_Rate_%,Already_Above_50,ARIMA_Forecast_%,Prophet_Forecast_%,Ensemble_Mean_%,ARIMA_Alert,Prophet_Alert,Both_Models_Alert,Models_Alerting
Acinetobacter baumannii,Croatia,2025,100.0,True,99.99,99.87,99.93,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Croatia,2026,100.0,True,99.94,100.0,99.97,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Croatia,2027,100.0,True,99.89,100.0,99.94,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Croatia,2028,100.0,True,99.85,100.0,99.92,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Croatia,2029,100.0,True,99.82,100.0,99.91,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Croatia,2030,100.0,True,99.79,100.0,99.9,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,France,2025,50.0,False,45.78,58.74,52.26,False,True,False,Prophet
Acinetobacter baumannii,France,2026,50.0,False,64.23,61.43,62.83,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,France,2027,50.0,False,60.93,64.12,62.53,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,France,2028,50.0,False,47.65,66.82,57.24,False,True,False,Prophet
Acinetobacter baumannii,France,2029,50.0,False,57.41,69.52,63.46,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,France,2030,50.0,False,63.04,72.21,67.62,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Italy,2025,70.0,True,60.28,91.77,76.03,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Italy,2026,70.0,True,60.28,92.47,76.38,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Italy,2027,70.0,True,60.28,93.16,76.72,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Italy,2028,70.0,True,60.28,93.86,77.07,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Italy,2029,70.0,True,60.28,94.56,77.42,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Italy,2030,70.0,True,60.28,95.25,77.76,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Spain,2025,64.29,True,93.19,68.69,80.94,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Spain,2026,64.29,True,65.55,68.31,66.93,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Spain,2027,64.29,True,44.38,67.93,56.16,False,True,False,Prophet
Acinetobacter baumannii,Spain,2028,64.29,True,58.08,67.55,62.82,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Spain,2029,64.29,True,96.45,67.17,81.81,True,True,True,ARIMA+Prophet
Acinetobacter baumannii,Spain,2030,64.29,True,100.0,66.79,83.4,True,True,True,ARIMA+Prophet
