Organism,Country,Year,ARIMA_Forecast_%,ARIMA_CI_Lower_%,ARIMA_CI_Upper_%,Prophet_Forecast_%,Prophet_CI_Lower_%,Prophet_CI_Upper_%,Model_Agreement,Ensemble_Mean_%
Acinetobacter baumannii,Croatia,2025.0,99.99,99.76,100.0,99.87,95.84,100.0,AGREE,99.93
Acinetobacter baumannii,Croatia,2026.0,99.94,99.62,100.0,100.0,96.46,100.0,AGREE,99.97
Acinetobacter baumannii,Croatia,2027.0,99.89,99.4,100.0,100.0,96.86,100.0,AGREE,99.94
Acinetobacter baumannii,Croatia,2028.0,99.85,99.14,100.0,100.0,96.72,100.0,AGREE,99.92
Acinetobacter baumannii,Croatia,2029.0,99.82,98.87,100.0,100.0,96.68,100.0,AGREE,99.91
Acinetobacter baumannii,Croatia,2030.0,99.79,98.59,100.0,100.0,97.59,100.0,AGREE,99.9
Acinetobacter baumannii,France,2025.0,45.78,12.18,79.39,58.74,38.29,75.48,DISAGREE,52.26
Acinetobacter baumannii,France,2026.0,64.23,19.06,100.0,61.43,45.04,79.14,AGREE,62.83
Acinetobacter baumannii,France,2027.0,60.93,13.91,100.0,64.12,46.73,81.92,AGREE,62.53
Acinetobacter baumannii,France,2028.0,47.65,0.0,96.0,66.82,49.87,84.9,DISAGREE,57.24
Acinetobacter baumannii,France,2029.0,57.41,2.4,100.0,69.52,52.34,87.32,DISAGREE,63.46
Acinetobacter baumannii,France,2030.0,63.04,4.49,100.0,72.21,54.35,89.71,AGREE,67.62
Acinetobacter baumannii,Italy,2025.0,60.28,37.75,82.82,91.77,80.2,100.0,DISAGREE,76.03
Acinetobacter baumannii,Italy,2026.0,60.28,23.04,97.52,92.47,81.2,100.0,DISAGREE,76.38
Acinetobacter baumannii,Italy,2027.0,60.28,12.68,100.0,93.16,81.44,100.0,DISAGREE,76.72
Acinetobacter baumannii,Italy,2028.0,60.28,4.21,100.0,93.86,82.14,100.0,DISAGREE,77.07
Acinetobacter baumannii,Italy,2029.0,60.28,0.0,100.0,94.56,82.12,100.0,DISAGREE,77.42
Acinetobacter baumannii,Italy,2030.0,60.28,0.0,100.0,95.25,83.56,100.0,DISAGREE,77.76
