Organism,Country,N_Valid_Years,Year_Min,Year_Max,MDR_Rate_Mean_%,MDR_Rate_Last_%,ARIMA_p,ARIMA_d,ARIMA_q,ARIMA_AIC,ARIMA_RMSE,ARIMA_Status,Prophet_RMSE,Prophet_Status
Klebsiella pneumoniae,Argentina,16,2004,2023,59.14,77.78,0,1,2,94.911,9.798,OK,9.258,OK
Klebsiella pneumoniae,Australia,13,2006,2024,13.72,0.0,0,0,2,85.374,12.859,OK,9.481,OK
Klebsiella pneumoniae,Belgium,14,2004,2024,35.65,59.38,1,1,2,82.751,10.427,OK,10.973,OK
Klebsiella pneumoniae,Brazil,13,2007,2024,69.37,65.62,0,1,2,72.25,8.318,OK,7.835,OK
Klebsiella pneumoniae,Canada,19,2004,2024,15.73,24.49,0,1,2,115.848,9.02,OK,8.085,OK
Klebsiella pneumoniae,Chile,12,2005,2024,71.5,78.57,1,0,2,82.735,29.077,OK,15.796,OK
Klebsiella pneumoniae,China,10,2015,2024,58.3,47.06,2,0,2,65.798,33.527,OK,15.118,OK
Klebsiella pneumoniae,Colombia,11,2008,2024,53.96,59.09,0,1,2,68.332,23.323,OK,17.08,OK
Klebsiella pneumoniae,Croatia,13,2007,2024,70.2,80.7,2,1,2,61.387,15.766,OK,9.584,OK
Klebsiella pneumoniae,Czech Republic,8,2017,2024,63.65,52.63,2,0,2,48.237,31.081,OK,12.374,OK
Klebsiella pneumoniae,Denmark,13,2006,2024,18.28,27.78,1,0,2,82.953,11.043,OK,9.465,OK
Klebsiella pneumoniae,France,20,2004,2024,32.18,46.67,2,1,2,119.335,9.778,OK,7.745,OK
Klebsiella pneumoniae,Germany,17,2007,2024,25.95,28.57,1,0,2,122.843,13.308,OK,12.011,OK
Klebsiella pneumoniae,Greece,9,2006,2024,78.42,100.0,1,1,2,49.073,13.118,OK,9.436,OK
Klebsiella pneumoniae,Hungary,8,2008,2024,57.75,38.71,1,1,2,38.981,21.227,OK,13.101,OK
Klebsiella pneumoniae,India,9,2007,2024,80.86,79.63,2,1,2,29.439,21.464,OK,6.795,OK
Klebsiella pneumoniae,Ireland,9,2005,2020,20.4,35.71,2,1,2,45.16,11.444,OK,10.852,OK
Klebsiella pneumoniae,Israel,12,2006,2024,59.56,61.54,1,0,2,72.491,21.171,OK,8.053,OK
Klebsiella pneumoniae,Italy,21,2004,2024,55.57,80.49,1,1,2,141.511,20.056,OK,12.128,OK
Klebsiella pneumoniae,"Korea, South",10,2006,2024,35.09,36.36,2,0,2,66.752,15.916,OK,13.12,OK
Klebsiella pneumoniae,Mexico,15,2007,2024,62.73,80.0,0,1,2,98.359,14.457,OK,11.697,OK
Klebsiella pneumoniae,Poland,8,2009,2023,78.28,81.25,2,1,2,26.671,23.689,OK,8.365,OK
Klebsiella pneumoniae,Portugal,14,2009,2024,53.05,72.73,0,1,2,83.175,12.43,OK,11.183,OK
Klebsiella pneumoniae,Romania,10,2008,2024,71.14,54.84,1,0,2,61.297,33.621,OK,10.887,OK
Klebsiella pneumoniae,Spain,20,2004,2024,34.38,47.54,2,1,2,118.814,8.145,OK,8.255,OK
Klebsiella pneumoniae,Taiwan,9,2006,2024,44.31,37.5,1,1,2,48.712,29.3,OK,15.136,OK
Klebsiella pneumoniae,Turkey,8,2006,2024,68.42,64.29,1,0,2,42.427,28.66,OK,14.94,OK
Klebsiella pneumoniae,United Kingdom,13,2004,2024,31.05,46.15,0,1,2,77.811,11.713,OK,10.219,OK
Klebsiella pneumoniae,United States,21,2004,2024,21.18,36.9,0,1,2,136.486,10.722,OK,9.853,OK
Acinetobacter baumannii,Croatia,8,2007,2024,98.27,100.0,2,1,2,5.082,21.677,OK,2.926,OK
Acinetobacter baumannii,France,9,2007,2022,27.57,50.0,2,1,2,51.989,18.754,OK,14.242,OK
Acinetobacter baumannii,Italy,15,2006,2023,84.71,70.0,0,1,2,85.655,11.042,OK,9.211,OK
Acinetobacter baumannii,Spain,9,2004,2016,74.1,64.29,2,1,2,37.506,18.183,OK,5.024,OK
Acinetobacter baumannii,United States,13,2004,2022,49.93,57.14,1,0,2,83.874,15.49,OK,10.696,OK
Escherichia coli,Argentina,17,2004,2024,40.73,46.15,0,1,2,121.505,19.83,OK,17.334,OK
Escherichia coli,Australia,15,2004,2024,21.59,18.18,0,1,2,99.108,15.213,OK,12.594,OK
Escherichia coli,Belgium,19,2006,2024,33.32,62.5,2,1,2,112.626,8.399,OK,8.538,OK
Escherichia coli,Brazil,12,2008,2024,50.52,47.73,1,0,2,77.833,13.106,OK,10.823,OK
Escherichia coli,Canada,20,2004,2024,21.5,30.43,1,0,2,134.749,12.533,OK,9.807,OK
Escherichia coli,Chile,12,2005,2024,43.23,47.06,1,0,2,83.621,20.521,OK,13.676,OK
Escherichia coli,China,10,2015,2024,78.35,79.78,1,0,2,57.435,24.165,OK,7.024,OK
Escherichia coli,Colombia,14,2008,2024,53.36,68.75,1,0,2,101.927,18.991,OK,12.973,OK
Escherichia coli,Croatia,15,2007,2024,35.42,53.97,1,0,2,108.833,21.209,OK,15.368,OK
Escherichia coli,Czech Republic,10,2015,2024,35.4,50.0,1,0,2,58.181,14.097,OK,8.678,OK
Escherichia coli,Denmark,14,2006,2024,22.85,32.0,1,0,2,97.313,13.896,OK,11.525,OK
Escherichia coli,France,21,2004,2024,23.96,46.67,0,1,2,133.778,9.997,OK,7.398,OK
