Organism,Country,Year,Total_N,MDR_Count,MDR_Rate_%,Sufficient
Acinetobacter baumannii,Argentina,2004,5,5,,False
Acinetobacter baumannii,Argentina,2005,8,7,,False
Acinetobacter baumannii,Argentina,2006,3,3,,False
Acinetobacter baumannii,Argentina,2007,9,9,,False
Acinetobacter baumannii,Argentina,2008,26,23,88.46,True
Acinetobacter baumannii,Argentina,2009,3,3,,False
Acinetobacter baumannii,Argentina,2010,15,14,93.33,True
Acinetobacter baumannii,Argentina,2011,3,3,,False
Acinetobacter baumannii,Argentina,2015,5,5,,False
Acinetobacter baumannii,Argentina,2016,2,2,,False
Acinetobacter baumannii,Argentina,2017,4,2,,False
Acinetobacter baumannii,Argentina,2018,1,1,,False
Acinetobacter baumannii,Argentina,2019,14,11,78.57,True
Acinetobacter baumannii,Argentina,2020,7,7,,False
Acinetobacter baumannii,Argentina,2021,12,12,100.0,True
Acinetobacter baumannii,Argentina,2022,7,7,,False
Acinetobacter baumannii,Argentina,2023,3,3,,False
Acinetobacter baumannii,Argentina,2024,2,2,,False
Acinetobacter baumannii,Australia,2004,3,1,,False
Acinetobacter baumannii,Australia,2005,1,0,,False
Acinetobacter baumannii,Australia,2006,1,0,,False
Acinetobacter baumannii,Australia,2007,2,0,,False
Acinetobacter baumannii,Australia,2008,3,0,,False
Acinetobacter baumannii,Australia,2009,2,0,,False
Acinetobacter baumannii,Australia,2010,1,0,,False
Acinetobacter baumannii,Australia,2014,1,0,,False
Acinetobacter baumannii,Australia,2016,1,1,,False
Acinetobacter baumannii,Australia,2019,2,0,,False
Acinetobacter baumannii,Australia,2020,1,0,,False
Acinetobacter baumannii,Australia,2021,1,0,,False
Acinetobacter baumannii,Australia,2022,4,0,,False
Acinetobacter baumannii,Austria,2010,4,1,,False
Acinetobacter baumannii,Belgium,2004,6,1,,False
Acinetobacter baumannii,Belgium,2006,1,0,,False
Acinetobacter baumannii,Belgium,2007,1,1,,False
Acinetobacter baumannii,Belgium,2008,6,1,,False
Acinetobacter baumannii,Belgium,2009,3,0,,False
Acinetobacter baumannii,Belgium,2010,3,0,,False
Acinetobacter baumannii,Belgium,2011,1,0,,False
Acinetobacter baumannii,Belgium,2012,1,1,,False
Acinetobacter baumannii,Belgium,2013,1,0,,False
Acinetobacter baumannii,Belgium,2014,4,1,,False
Acinetobacter baumannii,Belgium,2015,1,0,,False
Acinetobacter baumannii,Belgium,2018,1,1,,False
Acinetobacter baumannii,Belgium,2019,2,0,,False
Acinetobacter baumannii,Belgium,2020,1,0,,False
Acinetobacter baumannii,Belgium,2023,1,0,,False
Acinetobacter baumannii,Brazil,2005,1,0,,False
Acinetobacter baumannii,Brazil,2006,4,3,,False
Acinetobacter baumannii,Brazil,2007,4,1,,False
Acinetobacter baumannii,Brazil,2008,18,15,83.33,True
Acinetobacter baumannii,Brazil,2009,15,12,80.0,True
Acinetobacter baumannii,Brazil,2014,2,2,,False
Acinetobacter baumannii,Brazil,2015,4,2,,False
Acinetobacter baumannii,Brazil,2016,3,3,,False
Acinetobacter baumannii,Brazil,2017,7,6,,False
Acinetobacter baumannii,Brazil,2018,12,10,83.33,True
Acinetobacter baumannii,Brazil,2019,9,9,,False
Acinetobacter baumannii,Brazil,2020,22,20,90.91,True
Acinetobacter baumannii,Brazil,2021,14,14,100.0,True
Acinetobacter baumannii,Brazil,2022,24,21,87.5,True
Acinetobacter baumannii,Brazil,2023,5,5,,False
Acinetobacter baumannii,Brazil,2024,19,16,84.21,True
Acinetobacter baumannii,Bulgaria,2008,1,1,,False
Acinetobacter baumannii,Bulgaria,2009,1,1,,False
Acinetobacter baumannii,Bulgaria,2010,7,7,,False
Acinetobacter baumannii,Bulgaria,2022,2,2,,False
Acinetobacter baumannii,Bulgaria,2023,3,3,,False
Acinetobacter baumannii,Bulgaria,2024,6,6,,False
Acinetobacter baumannii,Cameroon,2021,1,0,,False
Acinetobacter baumannii,Canada,2004,1,1,,False
Acinetobacter baumannii,Canada,2005,7,1,,False
Acinetobacter baumannii,Canada,2006,1,0,,False
Acinetobacter baumannii,Canada,2007,10,1,10.0,True
Acinetobacter baumannii,Canada,2008,1,0,,False
Acinetobacter baumannii,Canada,2009,5,0,,False
Acinetobacter baumannii,Canada,2010,6,0,,False
Acinetobacter baumannii,Canada,2011,9,1,,False
Acinetobacter baumannii,Canada,2012,4,0,,False
Acinetobacter baumannii,Canada,2013,2,0,,False
Acinetobacter baumannii,Canada,2014,3,0,,False
Acinetobacter baumannii,Canada,2016,1,0,,False
Acinetobacter baumannii,Canada,2018,5,1,,False
Acinetobacter baumannii,Canada,2019,8,4,,False
Acinetobacter baumannii,Canada,2020,2,0,,False
Acinetobacter baumannii,Canada,2021,12,5,41.67,True
Acinetobacter baumannii,Canada,2022,3,0,,False
Acinetobacter baumannii,Canada,2023,8,1,,False
Acinetobacter baumannii,Canada,2024,2,0,,False
Acinetobacter baumannii,Chile,2005,4,3,,False
Acinetobacter baumannii,Chile,2006,3,3,,False
Acinetobacter baumannii,Chile,2007,7,7,,False
Acinetobacter baumannii,Chile,2008,3,3,,False
Acinetobacter baumannii,Chile,2009,4,3,,False
Acinetobacter baumannii,Chile,2013,2,1,,False
Acinetobacter baumannii,Chile,2014,1,1,,False
Acinetobacter baumannii,Chile,2015,1,0,,False
Acinetobacter baumannii,Chile,2018,2,1,,False
Acinetobacter baumannii,Chile,2020,1,0,,False
Acinetobacter baumannii,Chile,2021,4,0,,False
Acinetobacter baumannii,Chile,2022,2,0,,False
Acinetobacter baumannii,Chile,2023,1,0,,False
Acinetobacter baumannii,Chile,2024,1,0,,False
Acinetobacter baumannii,China,2006,1,1,,False
Acinetobacter baumannii,China,2009,2,1,,False
Acinetobacter baumannii,China,2014,2,2,,False
Acinetobacter baumannii,China,2015,9,4,,False
Acinetobacter baumannii,China,2016,11,8,72.73,True
Acinetobacter baumannii,China,2018,8,8,,False
Acinetobacter baumannii,China,2019,19,14,73.68,True
Acinetobacter baumannii,China,2020,8,3,,False
Acinetobacter baumannii,China,2021,24,17,70.83,True
Acinetobacter baumannii,China,2022,18,17,94.44,True
Acinetobacter baumannii,China,2023,17,14,82.35,True
Acinetobacter baumannii,China,2024,5,2,,False
